Time,Extension,Load
(s),(mm),(N)
"31.71000","31.66597","33.73465"
"31.81000","31.76633","33.97980"
"31.91000","31.86580","34.34123"
"32.01000","31.96572","34.54254"
"32.11000","32.06642","35.12531"
"32.21000","32.16543","35.60862"
"32.31000","32.26582","36.27166"
"32.41000","32.36641","36.68539"
"32.51000","32.46574","36.60372"
"32.61000","32.56578","36.10000"
"32.67400","32.62990","34.82924"
"32.68900","32.64505","33.56815"
"32.78900","32.74529","34.51966"
"32.88900","32.84476","35.19952"
"32.98900","32.94478","35.57245"
"33.08900","33.04533","35.60661"
"33.18900","33.14442","35.46632"
"33.28900","33.24490","34.83536"
"33.38900","33.34535","34.40186"
"33.48900","33.44477","34.20234"
"33.58900","33.54458","34.22359"
"33.68900","33.64483","34.46067"
"33.78900","33.74512","34.43385"
"33.88900","33.84489","34.61805"
"33.98900","33.94494","34.94164"
"34.08900","34.04531","34.89244"
"34.18900","34.14464","34.92477"
"34.28900","34.24469","34.98106"
"34.38900","34.34525","34.72549"
"34.48900","34.44472","34.18436"
"34.58900","34.54491","33.69807"
"34.68900","34.64531","33.41634"
"34.78900","34.74469","33.09176"
"34.88900","34.84477","32.73815"
"34.98900","34.94516","32.61532"
"35.08900","35.04510","32.64988"
"35.18900","35.14487","32.84439"
"35.28900","35.24484","33.23721"
"35.38900","35.34530","33.37685"
"35.48900","35.44453","33.54397"
"35.58900","35.54494","33.77889"
"35.68900","35.64524","33.99246"
"35.78900","35.74478","34.01624"
"35.88900","35.84481","34.03693"
"35.98900","35.94517","34.12512"
"36.08900","36.04470","34.17786"
"36.18900","36.14496","34.52843"
"36.28900","36.24517","34.57094"
"36.38900","36.34517","34.76495"
"36.48900","36.44472","34.79699"
"36.58900","36.54520","34.70796"
"36.68900","36.64510","34.42144"
"36.78900","36.74480","34.39877"
"36.88900","36.84482","34.22892"
"36.98900","36.94531","34.00005"
"37.08900","37.04477","33.86545"
"37.18900","37.14482","34.05056"
"37.28900","37.24519","34.20521"
"37.38900","37.34483","34.39415"
"37.48900","37.44489","34.52715"
"37.58900","37.54527","34.60757"
"37.68900","37.64517","34.93072"
"37.78900","37.74465","35.28013"
"37.88900","37.84496","35.48169"
"37.98900","37.94515","35.58609"
"38.08900","38.04469","35.71543"
"38.18900","38.14480","35.77652"
"38.28900","38.24558","35.80392"
"38.38900","38.34475","35.89581"
"38.48900","38.44460","35.86646"
"38.58900","38.54509","35.78148"
"38.68900","38.64499","35.84172"
"38.78900","38.74491","35.68077"
"38.88900","38.84531","35.67556"
"38.98900","38.94482","35.74010"
"39.08900","39.04486","35.69667"
"39.18900","39.14485","35.54297"
"39.28900","39.24514","35.22094"
"39.38900","39.34469","34.40650"
"39.48900","39.44483","34.17202"
"39.58900","39.54559","34.34724"
"39.68900","39.64467","34.63234"
"39.78900","39.74460","34.81807"
"39.88900","39.84519","34.69025"
"39.98900","39.94487","35.11806"
"40.08900","40.04497","35.17986"
"40.18900","40.14526","35.32702"
"40.28900","40.24484","34.82703"
"40.38900","40.34459","34.86387"
"40.48900","40.44493","34.95411"
"40.58900","40.54527","35.03999"
"40.68900","40.64457","35.07553"
"40.78900","40.74506","35.02709"
"40.88900","40.84538","35.13354"
"40.98900","40.94464","35.28089"
"41.08900","41.04450","35.42667"
"41.18900","41.14522","35.47313"
"41.28900","41.24474","35.39680"
"41.38900","41.34506","35.61772"
"41.48900","41.44499","35.93651"
"41.58900","41.54516","35.26321"
"41.68900","41.64450","34.83580"
"41.78900","41.74487","34.58091"
"41.88900","41.84533","34.61076"
"41.98900","41.94483","34.67227"
"42.08900","42.04490","34.85603"
"42.18900","42.14528","34.83508"
"42.28900","42.24475","34.75928"
"42.38900","42.34474","34.88078"
"42.48900","42.44518","35.11411"
"42.58900","42.54494","35.46961"
"42.68900","42.64512","35.50279"
"42.78900","42.74505","35.81014"
"42.88900","42.84498","35.80225"
"42.98900","42.94473","35.47270"
"43.08900","43.04493","35.03817"
"43.18900","43.14516","34.84224"
"43.28900","43.24483","34.68841"
"43.38900","43.34477","34.73127"
"43.48900","43.44523","34.94584"
"43.58900","43.54449","35.19569"
"43.68900","43.64470","35.39861"
"43.78900","43.74525","35.68093"
"43.88900","43.84490","35.72633"
"43.98900","43.94492","35.72564"
"44.08900","44.04531","35.74058"
"44.18900","44.14481","35.81770"
"44.28900","44.24475","36.11085"
"44.38900","44.34480","36.24521"
"44.48900","44.44555","36.42089"
"44.58900","44.54485","36.62802"
"44.68900","44.64476","36.83937"
"44.78900","44.74512","37.02061"
"44.88900","44.84466","37.09361"
"44.98900","44.94460","37.25932"
"45.08900","45.04511","37.26971"
"45.18900","45.14504","37.13852"
"45.28900","45.24490","36.96305"
"45.38900","45.34509","36.97654"
"45.48900","45.44486","37.10220"
"45.58900","45.54448","37.30705"
"45.68900","45.64507","37.50303"
"45.78900","45.74546","37.70436"
"45.88900","45.84481","37.88449"
"45.98900","45.94459","37.98221"
"46.08900","46.04519","38.04453"
"46.18900","46.14485","37.48060"
"46.28900","46.24476","37.38627"
"46.38900","46.34524","37.70634"
"46.48900","46.44506","37.84510"
"46.58900","46.54505","37.92665"
"46.68900","46.64505","37.98664"
"46.78900","46.74494","37.88347"
"46.88900","46.84467","37.85970"
"46.98900","46.94521","37.80898"
"47.08900","47.04544","37.88654"
"47.18900","47.14468","38.01142"
"47.28900","47.24452","38.05834"
"47.38900","47.34531","38.01031"
"47.48900","47.44482","37.97805"
"47.58900","47.54474","38.00194"
"47.68900","47.64531","37.98690"
"47.78900","47.74486","37.86915"
"47.88900","47.84476","37.79465"
"47.98900","47.94511","37.74049"
"48.08900","48.04506","37.72766"
"48.18900","48.14466","37.71186"
"48.28900","48.24500","37.67562"
"48.38900","48.34532","37.76936"
"48.48900","48.44464","37.78741"
"48.58900","48.54465","37.60522"
"48.68900","48.64525","37.38831"
"48.78900","48.74480","37.47633"
"48.88900","48.84478","37.57261"
"48.98900","48.94503","37.65263"
"49.08900","49.04500","37.79309"
"49.18900","49.14465","37.82710"
"49.28900","49.24509","37.93207"
"49.38900","49.34491","37.96674"
"49.48900","49.44494","37.99432"
"49.58900","49.54492","37.99245"
"49.68900","49.64529","37.96753"
"49.78900","49.74445","37.98546"
"49.88900","49.84491","38.08316"
"49.98900","49.94526","38.21651"
"50.08900","50.04485","38.42358"
"50.18900","50.14478","38.53472"
"50.28900","50.24514","38.57994"
"50.38900","50.34497","38.27162"
"50.48900","50.44484","38.04524"
"50.58900","50.54518","38.06443"
"50.68900","50.64500","37.97882"
"50.78900","50.74481","37.86938"
"50.88900","50.84504","37.91322"
"50.98900","50.94520","37.94730"
"51.08900","51.04433","37.98922"
"51.18900","51.14489","38.02223"
"51.28900","51.24535","38.19744"
"51.38900","51.34502","38.33980"
"51.48900","51.44420","38.50650"
"51.58900","51.54520","38.57318"
"51.68900","51.64471","38.65155"
"51.78900","51.74497","38.73610"
"51.88900","51.84502","38.75834"
"51.98900","51.94531","38.71708"
"52.08900","52.04487","38.74767"
"52.18900","52.14485","38.81804"
"52.28900","52.24514","38.85486"
"52.38900","52.34487","38.90376"
"52.48900","52.44483","38.98491"
"52.58900","52.54534","39.05923"
"52.68900","52.64484","39.08540"
"52.78900","52.74480","39.01898"
"52.88900","52.84518","39.08786"
"52.98900","52.94485","39.07641"
"53.08900","53.04475","39.01712"
"53.18900","53.14516","39.02491"
"53.28900","53.24514","38.99672"
"53.38900","53.34481","38.97638"
"53.48900","53.44469","39.06120"
"53.58900","53.54512","39.09930"
"53.68900","53.64461","39.10079"
"53.78900","53.74474","39.18327"
"53.88900","53.84538","39.33687"
"53.98900","53.94458","39.49966"
"54.08900","54.04478","39.65464"
"54.18900","54.14503","39.75148"
"54.28900","54.24488","39.85531"
"54.38900","54.34456","40.08975"
"54.48900","54.44545","40.21855"
"54.58900","54.54508","40.43170"
"54.68900","54.64477","40.72240"
"54.78900","54.74433","40.89705"
"54.88900","54.84559","41.10775"
"54.98900","54.94471","41.24318"
"55.08900","55.04484","41.36384"
"55.18900","55.14523","41.56490"
"55.28900","55.24486","41.74690"
"55.38900","55.34463","41.91929"
"55.48900","55.44517","42.13062"
"55.58900","55.54494","42.20052"
"55.68900","55.64483","42.30192"
"55.78900","55.74536","42.38441"
"55.88900","55.84511","42.54162"
"55.98900","55.94462","42.70153"
"56.08900","56.04450","42.90084"
"56.18900","56.14550","43.12493"
"56.28900","56.24488","43.27758"
"56.38900","56.34492","43.53585"
"56.48900","56.44514","43.66217"
"56.58900","56.54480","43.78006"
"56.68900","56.64454","43.91035"
"56.78900","56.74522","44.05440"
"56.88900","56.84493","44.07684"
"56.98900","56.94501","44.20643"
"57.08900","57.04513","44.24899"
"57.18900","57.14487","44.36646"
"57.28900","57.24453","44.54499"
"57.38900","57.34499","44.64401"
"57.48900","57.44538","44.72137"
"57.58900","57.54483","44.84064"
"57.68900","57.64478","44.86302"
"57.78900","57.74530","44.95341"
"57.88900","57.84467","45.02487"
"57.98900","57.94453","45.08603"
"58.08900","58.04525","45.20269"
"58.18900","58.14509","45.24634"
"58.28900","58.24501","45.29954"
"58.38900","58.34507","45.33696"
"58.48900","58.44505","45.48674"
"58.58900","58.54465","45.65720"
"58.68900","58.64489","45.89782"
"58.78900","58.74520","45.97736"
"58.88900","58.84489","46.16307"
"58.98900","58.94452","46.36642"
"59.08900","59.04525","46.57105"
"59.18900","59.14468","46.79192"
"59.28900","59.24458","47.05289"
"59.38900","59.34495","47.21446"
"59.48900","59.44508","47.45507"
"59.58900","59.54485","47.54804"
"59.68900","59.64509","47.78647"
"59.78900","59.74481","47.91011"
